close,datetime,exchange_code,expiry_date,high,low,open,open_interest,product_type,stock_code,volume
26731.0,2025-11-27 09:15:00,NFO,24-FEB-2026,26740.0,26687.1,26687.1,57785,Futures,NIFTY,1495
26728.7,2025-11-27 09:16:00,NFO,24-FEB-2026,26735.0,26719.8,26731.0,57785,Futures,NIFTY,780
26725.0,2025-11-27 09:17:00,NFO,24-FEB-2026,26728.7,26716.1,26728.7,57785,Futures,NIFTY,520
26728.7,2025-11-27 09:18:00,NFO,24-FEB-2026,26728.7,26720.0,26725.0,57785,Futures,NIFTY,195
26745.0,2025-11-27 09:19:00,NFO,24-FEB-2026,26745.0,26728.7,26728.7,58435,Futures,NIFTY,780
26745.0,2025-11-27 09:20:00,NFO,24-FEB-2026,26745.0,26740.1,26745.0,58435,Futures,NIFTY,455
26748.1,2025-11-27 09:21:00,NFO,24-FEB-2026,26750.0,26745.0,26745.0,59605,Futures,NIFTY,975
26772.2,2025-11-27 09:22:00,NFO,24-FEB-2026,26772.8,26748.1,26748.1,59605,Futures,NIFTY,1170
26774.8,2025-11-27 09:23:00,NFO,24-FEB-2026,26777.5,26765.5,26772.2,59605,Futures,NIFTY,5655
26765.5,2025-11-27 09:24:00,NFO,24-FEB-2026,26781.0,26765.5,26774.8,64155,Futures,NIFTY,1170
26759.6,2025-11-27 09:25:00,NFO,24-FEB-2026,26765.5,26759.6,26765.5,64155,Futures,NIFTY,1495
26760.0,2025-11-27 09:26:00,NFO,24-FEB-2026,26767.9,26755.0,26760.4,64155,Futures,NIFTY,2080
26768.6,2025-11-27 09:27:00,NFO,24-FEB-2026,26769.9,26756.7,26760.0,64155,Futures,NIFTY,1300
26763.5,2025-11-27 09:28:00,NFO,24-FEB-2026,26775.0,26760.6,26768.6,66170,Futures,NIFTY,650
26770.1,2025-11-27 09:29:00,NFO,24-FEB-2026,26775.5,26763.5,26763.5,66170,Futures,NIFTY,780
26760.0,2025-11-27 09:30:00,NFO,24-FEB-2026,26771.0,26758.1,26770.1,66885,Futures,NIFTY,585
26763.0,2025-11-27 09:31:00,NFO,24-FEB-2026,26763.0,26760.0,26760.0,66885,Futures,NIFTY,195
26756.5,2025-11-27 09:32:00,NFO,24-FEB-2026,26768.9,26756.5,26763.0,66885,Futures,NIFTY,390
26753.2,2025-11-27 09:33:00,NFO,24-FEB-2026,26756.5,26753.2,26756.5,66885,Futures,NIFTY,260
26758.0,2025-11-27 09:34:00,NFO,24-FEB-2026,26758.0,26753.2,26753.2,67340,Futures,NIFTY,65
26767.5,2025-11-27 09:35:00,NFO,24-FEB-2026,26767.5,26758.0,26758.0,67340,Futures,NIFTY,585
26766.9,2025-11-27 09:36:00,NFO,24-FEB-2026,26767.5,26760.0,26767.5,67340,Futures,NIFTY,130
26753.7,2025-11-27 09:37:00,NFO,24-FEB-2026,26766.9,26753.7,26766.9,67600,Futures,NIFTY,130
26753.7,2025-11-27 09:38:00,NFO,24-FEB-2026,26760.0,26753.7,26753.7,67600,Futures,NIFTY,325
26741.0,2025-11-27 09:39:00,NFO,24-FEB-2026,26753.7,26741.0,26753.7,68510,Futures,NIFTY,1170
26726.0,2025-11-27 09:40:00,NFO,24-FEB-2026,26741.0,26726.0,26741.0,68510,Futures,NIFTY,520
26746.8,2025-11-27 09:41:00,NFO,24-FEB-2026,26748.9,26725.0,26726.0,68510,Futures,NIFTY,650
26730.0,2025-11-27 09:42:00,NFO,24-FEB-2026,26746.8,26730.0,26746.8,68510,Futures,NIFTY,715
26720.0,2025-11-27 09:43:00,NFO,24-FEB-2026,26744.3,26720.0,26730.0,69355,Futures,NIFTY,910
26728.0,2025-11-27 09:44:00,NFO,24-FEB-2026,26728.0,26720.0,26720.0,69355,Futures,NIFTY,195
26744.4,2025-11-27 09:45:00,NFO,24-FEB-2026,26744.4,26721.3,26728.0,69355,Futures,NIFTY,325
26738.1,2025-11-27 09:46:00,NFO,24-FEB-2026,26744.4,26720.1,26744.4,70135,Futures,NIFTY,1170
26760.0,2025-11-27 09:47:00,NFO,24-FEB-2026,26760.0,26738.1,26738.1,70135,Futures,NIFTY,910
26750.4,2025-11-27 09:48:00,NFO,24-FEB-2026,26760.0,26750.4,26760.0,70135,Futures,NIFTY,130
26750.0,2025-11-27 09:49:00,NFO,24-FEB-2026,26750.4,26750.0,26750.4,70850,Futures,NIFTY,455
26745.9,2025-11-27 09:50:00,NFO,24-FEB-2026,26750.0,26737.2,26750.0,70850,Futures,NIFTY,195
26745.9,2025-11-27 09:51:00,NFO,24-FEB-2026,26745.9,26745.9,26745.9,70850,Futures,NIFTY,0
26750.0,2025-11-27 09:52:00,NFO,24-FEB-2026,26750.0,26740.6,26745.9,71240,Futures,NIFTY,260
26750.0,2025-11-27 09:53:00,NFO,24-FEB-2026,26750.0,26750.0,26750.0,71240,Futures,NIFTY,65
26750.0,2025-11-27 09:54:00,NFO,24-FEB-2026,26755.0,26750.0,26754.9,71240,Futures,NIFTY,520
26750.0,2025-11-27 09:55:00,NFO,24-FEB-2026,26750.0,26750.0,26750.0,71240,Futures,NIFTY,65
26750.0,2025-11-27 09:56:00,NFO,24-FEB-2026,26750.0,26750.0,26750.0,71955,Futures,NIFTY,65
26750.1,2025-11-27 09:57:00,NFO,24-FEB-2026,26750.1,26750.0,26750.0,71955,Futures,NIFTY,65
26755.0,2025-11-27 09:58:00,NFO,24-FEB-2026,26755.0,26750.1,26750.1,71955,Futures,NIFTY,325
26762.0,2025-11-27 09:59:00,NFO,24-FEB-2026,26767.0,26755.0,26755.0,71955,Futures,NIFTY,260
26765.0,2025-11-27 10:00:00,NFO,24-FEB-2026,26765.0,26762.0,26762.0,71955,Futures,NIFTY,390
26766.0,2025-11-27 10:01:00,NFO,24-FEB-2026,26766.0,26765.0,26765.0,72345,Futures,NIFTY,65
26769.0,2025-11-27 10:02:00,NFO,24-FEB-2026,26769.0,26766.0,26766.0,72345,Futures,NIFTY,130
26770.1,2025-11-27 10:03:00,NFO,24-FEB-2026,26774.9,26770.1,26774.9,72345,Futures,NIFTY,1105
26781.9,2025-11-27 10:04:00,NFO,24-FEB-2026,26781.9,26770.1,26770.1,72605,Futures,NIFTY,585
