close,datetime,exchange_code,high,low,open,stock_code,volume
17783.15,2021-11-01 09:07:00,NSE,17783.15,17783.15,17783.15,NIFTY,0
17815.1,2021-11-01 09:15:00,NSE,17820.55,17767.05,17788.1,NIFTY,5690288
17816.85,2021-11-01 09:16:00,NSE,17833.6,17812.35,17818.7,NIFTY,3447726
17805.5,2021-11-01 09:17:00,NSE,17829.6,17796.95,17817.45,NIFTY,3099620
17800.75,2021-11-01 09:18:00,NSE,17822.85,17795.8,17808.35,NIFTY,2855844
17815.3,2021-11-01 09:19:00,NSE,17820.25,17803.15,17807.25,NIFTY,2724182
17792.4,2021-11-01 09:20:00,NSE,17812.3,17783.65,17812.3,NIFTY,3648000
17779.75,2021-11-01 09:21:00,NSE,17803.4,17778.85,17791.4,NIFTY,3095218
17766.85,2021-11-01 09:22:00,NSE,17790.2,17765.05,17782.65,NIFTY,2788320
17744.8,2021-11-01 09:23:00,NSE,17779.65,17731.7,17768.5,NIFTY,2806109
17706.9,2021-11-01 09:24:00,NSE,17745.4,17697.1,17745.4,NIFTY,2155883
17732.85,2021-11-01 09:25:00,NSE,17738.75,17704.25,17705.6,NIFTY,2346563
17754.95,2021-11-01 09:26:00,NSE,17754.95,17718.05,17733.5,NIFTY,2279926
17728.15,2021-11-01 09:27:00,NSE,17763.6,17726.25,17755.75,NIFTY,1735418
17733.65,2021-11-01 09:28:00,NSE,17739.75,17722.7,17727.1,NIFTY,1664341
17745.55,2021-11-01 09:29:00,NSE,17746.55,17724.4,17732.45,NIFTY,1339488
17754.6,2021-11-01 09:30:00,NSE,17756.2,17735.85,17746.35,NIFTY,2025570
17759.0,2021-11-01 09:31:00,NSE,17759.2,17751.9,17758.05,NIFTY,1316066
17751.8,2021-11-01 09:32:00,NSE,17765.25,17749.45,17758.95,NIFTY,1463497
17740.6,2021-11-01 09:33:00,NSE,17757.25,17740.6,17747.9,NIFTY,1118854
17756.5,2021-11-01 09:34:00,NSE,17761.7,17738.85,17741.5,NIFTY,1383358
17766.1,2021-11-01 09:35:00,NSE,17774.3,17753.8,17753.8,NIFTY,1196513
17757.55,2021-11-01 09:36:00,NSE,17766.7,17755.2,17766.7,NIFTY,1114968
17762.75,2021-11-01 09:37:00,NSE,17771.3,17757.4,17757.4,NIFTY,1108816
17773.75,2021-11-01 09:38:00,NSE,17776.5,17762.5,17762.5,NIFTY,884091
17782.0,2021-11-01 09:39:00,NSE,17783.8,17771.15,17774.5,NIFTY,1232525
17783.25,2021-11-01 09:40:00,NSE,17788.55,17774.15,17781.85,NIFTY,1374593
17769.2,2021-11-01 09:41:00,NSE,17789.0,17768.0,17783.5,NIFTY,1354691
17776.3,2021-11-01 09:42:00,NSE,17780.05,17765.3,17767.65,NIFTY,1044063
17769.45,2021-11-01 09:43:00,NSE,17782.45,17769.3,17777.25,NIFTY,1111257
17765.5,2021-11-01 09:44:00,NSE,17775.1,17763.05,17768.75,NIFTY,1397355
17775.9,2021-11-01 09:45:00,NSE,17776.1,17755.45,17765.45,NIFTY,1280914
17773.1,2021-11-01 09:46:00,NSE,17781.25,17772.5,17777.1,NIFTY,827809
17775.35,2021-11-01 09:47:00,NSE,17776.3,17769.55,17771.1,NIFTY,1168722
17787.5,2021-11-01 09:48:00,NSE,17788.55,17773.1,17774.6,NIFTY,1122072
17795.4,2021-11-01 09:49:00,NSE,17795.4,17786.6,17788.75,NIFTY,1166840
17788.35,2021-11-01 09:50:00,NSE,17799.4,17788.2,17795.8,NIFTY,803219
17796.35,2021-11-01 09:51:00,NSE,17799.3,17786.95,17788.1,NIFTY,763172
17797.5,2021-11-01 09:52:00,NSE,17799.9,17793.0,17796.65,NIFTY,865837
17801.35,2021-11-01 09:53:00,NSE,17804.15,17797.8,17800.0,NIFTY,691475
17792.9,2021-11-01 09:54:00,NSE,17801.35,17791.4,17801.3,NIFTY,838975
17792.5,2021-11-01 09:55:00,NSE,17798.75,17788.55,17792.4,NIFTY,1153030
