close,datetime,exchange_code,expiry_date,high,low,open,open_interest,product_type,stock_code,volume
12348.6,2020-01-01 09:15:00,NFO,26-MAR-2020,12348.6,12309.05,12309.05,73950,Futures,NIFTY,301
12347.65,2020-01-01 09:16:00,NFO,26-MAR-2020,12347.65,12347.65,12347.65,73950,Futures,NIFTY,75
12342.0,2020-01-01 09:18:00,NFO,26-MAR-2020,12342.0,12340.0,12340.0,74025,Futures,NIFTY,150
12348.1,2020-01-01 09:19:00,NFO,26-MAR-2020,12348.1,12347.0,12347.0,74025,Futures,NIFTY,150
12348.45,2020-01-01 09:20:00,NFO,26-MAR-2020,12348.45,12348.45,12348.45,74025,Futures,NIFTY,75
12350.0,2020-01-01 09:23:00,NFO,26-MAR-2020,12350.0,12348.45,12348.45,74100,Futures,NIFTY,225
12351.5,2020-01-01 09:24:00,NFO,26-MAR-2020,12351.5,12351.5,12351.5,74100,Futures,NIFTY,75
12351.5,2020-01-01 09:25:00,NFO,26-MAR-2020,12351.5,12351.5,12351.5,74100,Futures,NIFTY,75
12350.0,2020-01-01 09:26:00,NFO,26-MAR-2020,12350.0,12350.0,12350.0,74175,Futures,NIFTY,150
12352.0,2020-01-01 09:29:00,NFO,26-MAR-2020,12352.0,12352.0,12352.0,74100,Futures,NIFTY,75
12355.05,2020-01-01 09:30:00,NFO,26-MAR-2020,12355.05,12355.05,12355.05,74100,Futures,NIFTY,75
12355.05,2020-01-01 09:32:00,NFO,26-MAR-2020,12355.05,12355.05,12355.05,74100,Futures,NIFTY,75
12350.0,2020-01-01 09:34:00,NFO,26-MAR-2020,12351.0,12350.0,12351.0,74325,Futures,NIFTY,300
12349.0,2020-01-01 09:35:00,NFO,26-MAR-2020,12349.0,12349.0,12349.0,74325,Futures,NIFTY,75
12339.05,2020-01-01 09:41:00,NFO,26-MAR-2020,12339.05,12339.0,12339.0,74475,Futures,NIFTY,150
12340.15,2020-01-01 09:45:00,NFO,26-MAR-2020,12340.15,12340.15,12340.15,74475,Futures,NIFTY,75
12333.0,2020-01-01 09:50:00,NFO,26-MAR-2020,12333.0,12333.0,12333.0,74475,Futures,NIFTY,75
12343.8,2020-01-01 09:52:00,NFO,26-MAR-2020,12343.8,12342.65,12342.65,74475,Futures,NIFTY,150
12343.25,2020-01-01 09:53:00,NFO,26-MAR-2020,12343.25,12343.25,12343.25,74625,Futures,NIFTY,75
12336.4,2020-01-01 10:00:00,NFO,26-MAR-2020,12336.4,12336.4,12336.4,74625,Futures,NIFTY,75
12336.9,2020-01-01 10:01:00,NFO,26-MAR-2020,12336.9,12336.9,12336.9,74625,Futures,NIFTY,75
12333.0,2020-01-01 10:03:00,NFO,26-MAR-2020,12333.0,12333.0,12333.0,74625,Futures,NIFTY,75
12332.6,2020-01-01 10:07:00,NFO,26-MAR-2020,12332.6,12332.6,12332.6,74625,Futures,NIFTY,75
12327.6,2020-01-01 10:09:00,NFO,26-MAR-2020,12330.0,12327.6,12330.0,74550,Futures,NIFTY,150
12327.7,2020-01-01 10:10:00,NFO,26-MAR-2020,12327.7,12326.3,12326.3,74550,Futures,NIFTY,150
12329.0,2020-01-01 10:11:00,NFO,26-MAR-2020,12329.0,12329.0,12329.0,74625,Futures,NIFTY,300
12331.7,2020-01-01 10:14:00,NFO,26-MAR-2020,12331.7,12331.7,12331.7,74625,Futures,NIFTY,75
12331.0,2020-01-01 10:20:00,NFO,26-MAR-2020,12331.0,12331.0,12331.0,74400,Futures,NIFTY,75
12337.45,2020-01-01 10:21:00,NFO,26-MAR-2020,12337.45,12337.45,12337.45,74400,Futures,NIFTY,150
12330.85,2020-01-01 10:25:00,NFO,26-MAR-2020,12330.85,12330.85,12330.85,74325,Futures,NIFTY,75
12325.35,2020-01-01 10:48:00,NFO,26-MAR-2020,12325.35,12325.35,12325.35,74325,Futures,NIFTY,75
12324.95,2020-01-01 10:49:00,NFO,26-MAR-2020,12324.95,12324.6,12324.6,74325,Futures,NIFTY,300
12323.6,2020-01-01 10:50:00,NFO,26-MAR-2020,12323.6,12323.6,12323.6,74325,Futures,NIFTY,75
