Date,nav,Rolling_Max_1Y,Drawdown_Pct,Falls_1Pct_Or_More
2013-01-02,38.9982,38.9982,0.0,False
2013-01-03,39.0894,39.0894,0.0,False
2013-01-04,39.1861,39.1861,0.0,False
2013-01-07,39.2755,39.2755,0.0,False
2013-01-08,39.3055,39.3055,0.0,False
2013-01-09,39.3469,39.3469,0.0,False
2013-01-10,39.4204,39.4204,0.0,False
2013-01-11,39.4711,39.4711,0.0,False
2013-01-14,39.7048,39.7048,0.0,False
2013-01-15,39.6288,39.7048,-0.19141262517378382,False
2013-01-16,39.4892,39.7048,-0.543007394571946,False
2013-01-17,39.5922,39.7048,-0.28359291571800005,False
2013-01-18,39.5599,39.7048,-0.3649432814168559,False
2013-01-21,39.5525,39.7048,-0.38358082649955866,False
2013-01-22,39.5627,39.7048,-0.3578912373315046,False
2013-01-23,39.5111,39.7048,-0.4878503354758109,False
2013-01-24,39.4633,39.7048,-0.6082388023614325,False
2013-01-28,39.5405,39.7048,-0.41380387257963075,False
2013-01-29,39.5493,39.7048,-0.3916403054542434,False
2013-01-30,39.4608,39.7048,-0.614535270294775,False
2013-01-31,39.4148,39.7048,-0.7303902802683785,False
2013-02-01,39.4294,39.7048,-0.6936189075376218,False
2013-02-04,39.3811,39.7048,-0.8152666680099011,False
2013-02-05,39.4362,39.7048,-0.676492514758919,False
2013-02-06,39.4862,39.7048,-0.550563156091964,False
2013-02-07,39.571,39.7048,-0.33698696379279286,False
2013-02-08,39.6755,39.7048,-0.07379460417883786,False
2013-02-11,39.6733,39.7048,-0.07933549596018918,False
2013-02-12,39.6503,39.7048,-0.13726300094698204,False
2013-02-13,39.7238,39.7238,0.0,False
2013-02-14,39.777,39.777,0.0,False
2013-02-15,39.7645,39.777,-0.03142519546472294,False
2013-02-18,39.8045,39.8045,0.0,False
2013-02-20,39.9007,39.9007,0.0,False
2013-02-21,39.8824,39.9007,-0.04586385702507358,False
2013-02-22,39.9044,39.9044,0.0,False
2013-02-25,39.9278,39.9278,0.0,False
2013-02-26,39.8925,39.9278,-0.08840957929061818,False
2013-02-27,39.9093,39.9278,-0.04633363220612196,False
2013-02-28,39.7391,39.9278,-0.4726030485025401,False
2013-03-01,39.5694,39.9278,-0.8976202044690568,False
2013-03-04,39.6694,39.9278,-0.647168138489961,False
2013-03-05,39.7125,39.9278,-0.5392232980529835,False
2013-03-06,39.7546,39.9278,-0.4337829782757734,False
2013-03-07,39.764,39.9278,-0.4102404840737402,False
2013-03-08,39.8221,39.9278,-0.26472783373989756,False
2013-03-11,39.833,39.9278,-0.2374285585481778,False
2013-03-12,39.7518,39.9278,-0.44079563612318945,False
