Strategy,Symbol,Close,Daily_RSI,Weekly_RSI,Monthly_RSI,Signal_Date
AGFS,JSWENERGY,580.2,59.53651942240378,60.6327210037403,57.659602147525945,2026-06-03
AGFS,BOSCHLTD,37760.0,59.22345604991995,55.586147120432585,58.705854597690724,2026-06-03
AGFS,APOLLOHOSP,8290.5,62.02128294059804,63.45057815162968,64.78883343029169,2026-06-03
