symbol,ex_date,action_type,ratio,issue_price,premium,remarks
LODHA,31-May-2023,BONUS,1:1,,,Bonus 1:1
LT,11-Jul-2013,BONUS,1:2,,,Bonus 1:2
LT,13-Jul-2017,BONUS,1:2,,, Bonus 1:2
MOTHERSON,03-Oct-2022,BONUS,1:2,,,Bonus 1:2
MOTHERSON,05-Jul-2017,BONUS,1:2,,, Bonus 1:2
MOTHERSON,14-Jan-2022,DEMERGER,1:1,,,Demerger
MOTHERSON,18-Jul-2025,BONUS,1:2,,,Bonus 1:2
MOTHERSON,30-Oct-2018,BONUS,1:2,,, Bonus 1:2
NAUKRI,07-May-2025,SPLIT,1:5,,,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share
NESTLEIND,05-Jan-2024,SPLIT,1:10,,,Face Value Split (Sub-Division) - From Rs10/- Per Share To Re 1/- Per Share
NESTLEIND,08-Aug-2025,BONUS,1:1,,,Bonus 1:1
NTPC,19-Mar-2019,BONUS,1:5,,, Bonus 1:5
PFC,21-Sep-2023,BONUS,1:4,,,Bonus 1:4
PIDILITIND,23-Sep-2025,BONUS,1:1,,,Bonus 1:1
PNB,18-Dec-2014,SPLIT,1:5,,,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share
POWERGRID,12-Sep-2023,BONUS,1:3,,,Bonus 1:3
POWERGRID,29-Jul-2021,BONUS,1:3,,, Bonus 1:3
RECLTD,17-Aug-2022,BONUS,1:3,,,Bonus 1:3
RELIANCE,07-Sep-2017,BONUS,1:1,,, Bonus 1:1
RELIANCE,13-May-2020,RIGHTS,1:15,1257.0,1247.0, Rights 1:15 @ Premium Rs 1247
RELIANCE,20-Jul-2023,DEMERGER,1:1,,,Demerger
RELIANCE,28-Oct-2024,BONUS,1:1,,,Bonus 1:1
SIEMENS,07-Apr-2025,DEMERGER,1:1,,,Demerger
SIEMENS,29-Feb-2008,BONUS,1:1,,,Bonus 1:1
SRF,13-Oct-2021,BONUS,4:1,,, Bonus 4:1
TATACONSUM,26-Jul-2024,RIGHTS,1:26,818.0,817.0,Rights 1:26 @ Premium Rs 817/-
TATACONSUM,30-Jun-2010,SPLIT,1:10,,,Face Value Split From Rs.10/- To Re.1/-
TATAELXSI,18-Sep-2017,BONUS,1:1,,, Bonus 1:1
TATASTEEL,28-Jul-2022,SPLIT,1:10,,,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share
TATASTEEL,31-Jan-2018,RIGHTS,4:25,501.0,500.0, Rights - 4:25 Fully Paid Up Shares @ Premium Rs 500/- Per Share / 2:25 Partly Paid Up Shares @ Premium Rs 605/- Per Share
